,city,Date,Death
0,Qom,2020/02/19,2.0
1,Qom,2020/02/20,2.0
2,Qom,2020/02/21,7.0
3,Qom,2020/02/22,8.0
4,Qom,2020/02/23,7.0
5,Qom,2020/02/24,8.0
6,Qom,2020/02/25,16.0
7,Qom,2020/02/26,15.0
8,Qom,2020/02/27,7.0
9,Qom,2020/02/28,16.0
10,Qom,2020/02/29,21.0
11,Qom,2020/03/01,30.0
12,Qom,2020/03/02,
13,Qom,2020/03/03,
14,Qom,2020/03/04,101.0
15,Qom,2020/03/05,32.0
16,Qom,2020/03/06,137.0
17,Qom,2020/03/07,145.0
18,Qom,2020/03/08,17.0
19,Qom,2020/03/09,27.0
20,Qom,2020/03/10,39.0
21,Qom,2020/03/11,53.0
22,Qom,2020/03/12,42.0
23,Qom,2020/03/13,42.0
24,Qom,2020/03/14,32.0
25,Qom,2020/03/15,84.0
26,Qom,2020/03/16,19.0
27,Qom,2020/03/17,29.0
28,Qom,2020/03/18,22.0
29,Qom,2020/03/19,31.0
30,Qom,2020/03/20,36.0
31,Qom,2020/03/21,20.0
32,Qom,2020/03/22,17.0
33,Tehran,2020/02/19,
34,Tehran,2020/02/20,
35,Tehran,2020/02/21,4.0
36,Tehran,2020/02/22,2.0
37,Tehran,2020/02/23,4.0
38,Tehran,2020/02/24,3.0
39,Tehran,2020/02/25,8.0
40,Tehran,2020/02/26,4.0
41,Tehran,2020/02/27,38.0
42,Tehran,2020/02/28,64.0
43,Tehran,2020/02/29,52.0
44,Tehran,2020/03/01,170.0
45,Tehran,2020/03/02,
46,Tehran,2020/03/03,
47,Tehran,2020/03/04,253.0
48,Tehran,2020/03/05,56.0
49,Tehran,2020/03/06,61.0
50,Tehran,2020/03/07,126.0
51,Tehran,2020/03/08,266.0
52,Tehran,2020/03/09,140.0
53,Tehran,2020/03/10,169.0
54,Tehran,2020/03/11,256.0
55,Tehran,2020/03/12,303.0
56,Tehran,2020/03/13,303.0
57,Tehran,2020/03/14,347.0
58,Tehran,2020/03/15,251.0
59,Tehran,2020/03/16,200.0
60,Tehran,2020/03/17,273.0
61,Tehran,2020/03/18,213.0
62,Tehran,2020/03/19,137.0
63,Tehran,2020/03/20,220.0
64,Tehran,2020/03/21,232.0
65,Tehran,2020/03/22,249.0
66,Mazandaran,2020/02/19,
67,Mazandaran,2020/02/20,
68,Mazandaran,2020/02/21,
69,Mazandaran,2020/02/22,
70,Mazandaran,2020/02/23,1.0
71,Mazandaran,2020/02/24,
72,Mazandaran,2020/02/25,2.0
73,Mazandaran,2020/02/26,1.0
74,Mazandaran,2020/02/27,7.0
75,Mazandaran,2020/02/28,9.0
76,Mazandaran,2020/02/29,12.0
77,Mazandaran,2020/03/01,11.0
78,Mazandaran,2020/03/02,
79,Mazandaran,2020/03/03,
80,Mazandaran,2020/03/04,9.0
81,Mazandaran,2020/03/05,50.0
82,Mazandaran,2020/03/06,180.0
83,Mazandaran,2020/03/07,305.0
84,Mazandaran,2020/03/08,14.0
85,Mazandaran,2020/03/09,13.0
86,Mazandaran,2020/03/10,253.0
87,Mazandaran,2020/03/11,32.0
88,Mazandaran,2020/03/12,79.0
89,Mazandaran,2020/03/13,192.0
90,Mazandaran,2020/03/14,17.0
91,Mazandaran,2020/03/15,72.0
92,Mazandaran,2020/03/16,96.0
93,Mazandaran,2020/03/17,59.0
94,Mazandaran,2020/03/18,61.0
95,Mazandaran,2020/03/19,58.0
96,Mazandaran,2020/03/20,84.0
97,Mazandaran,2020/03/21,28.0
98,Mazandaran,2020/03/22,36.0
99,Alborz,2020/02/19,
100,Alborz,2020/02/20,
101,Alborz,2020/02/21,
102,Alborz,2020/02/22,
103,Alborz,2020/02/23,
104,Alborz,2020/02/24,
105,Alborz,2020/02/25,2.0
106,Alborz,2020/02/26,
107,Alborz,2020/02/27,3.0
