Date,Qom,Tehran,Mazandaran,Alburz,Semnan,Golestan,Qazvin,Esfahan,Fars,Hormozgan,Koh_boyr,Charmahal,Bushehr,Gilan,Ardebil,East_Azerbaijan,West_Azerbaijan,Kurdestan,Zanjan,Markazi,Hamedan,Khuzistan,Kermanshah,Lorstan,Ilam,Razavi_Khr,Sis_baluchestan,Yazd,South_Khs,Kerman,North_Khn
2020/02/19,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/21,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/22,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/23,7,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/24,8,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/25,16,8,2,2,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2020/02/26,15,4,1,NA,1,NA,NA,NA,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,3,1,1,NA,NA,2,NA,NA,NA,NA
2020/02/27,7,38,7,3,3,NA,NA,8,NA,NA,NA,NA,NA,23,5,2,1,1,NA,NA,1,NA,2,3,NA,1,NA,1,NA,NA,NA
2020/02/28,16,64,9,3,2,2,2,10,NA,NA,NA,NA,NA,25,1,4,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020/02/29,21,52,12,8,4,22,6,12,8,NA,NA,NA,NA,17,3,6,NA,5,NA,18,NA,4,NA,NA,1,NA,1,4,1,NA,NA
2020/03/01,30,170,11,31,3,NA,NA,13,8,2,NA,NA,NA,28,NA,NA,NA,NA,NA,44,3,9,2,8,1,17,2,NA,2,2,NA
2020/03/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
